roi_i,roi_j,tval,p_unc,p_fdr,significant,yeo7_i,yeo7_i_name,yeo17_i,yeo17_i_name,yeo7_j,yeo7_j_name,yeo17_j,yeo17_j_name,HO_i_name,HO_j_name,HO_pair,yeo7_pair,yeo7_kind,yeo17_pair,yeo17_kind
49,109,4.2172685,2.7444623e-05,0.0033705868,True,3,Dorsal Attention,6,Dorsal Attention – B,7,Default Mode,16,Default Mode – C,Left Postcentral Gyrus,Right Cingulate Gyrus; anterior division,Left Postcentral Gyrus ↔ Right Cingulate Gyrus; anterior division,Default Mode ↔ Dorsal Attention,inter,Default Mode – C ↔ Dorsal Attention – B,inter
246,330,4.2126145,2.7882474e-05,0.0034079766,True,4,Salience / Ventral Attention,4,Somatomotor – B,1,Visual,15,Default Mode – B,Right Insular Cortex,Right Temporal Fusiform Cortex; posterior division,Right Insular Cortex ↔ Right Temporal Fusiform Cortex; posterior division,Salience / Ventral Attention ↔ Visual,inter,Default Mode – B ↔ Somatomotor – B,inter
57,373,4.2120113,2.8080782e-05,0.003415871,True,7,Default Mode,17,Temporo-Parietal,0,Unknown,0,Unknown,Left Middle Temporal Gyrus; posterior division,Left Caudate,Left Caudate ↔ Left Middle Temporal Gyrus; posterior division,Default Mode ↔ Unknown,inter,Temporo-Parietal ↔ Unknown,inter
271,294,4.211624,2.800044e-05,0.003415871,True,7,Default Mode,14,Default Mode – A,1,Visual,5,Dorsal Attention – A,Left Temporal Pole,Right Lateral Occipital Cortex; superior division,Left Temporal Pole ↔ Right Lateral Occipital Cortex; superior division,Default Mode ↔ Visual,inter,Default Mode – A ↔ Dorsal Attention – A,inter
83,275,4.208355,2.8484154e-05,0.0034430781,True,1,Visual,5,Dorsal Attention – A,3,Dorsal Attention,11,Frontoparietal Control – A,,Right Precuneous Cortex,Right Precuneous Cortex ↔ Unknown,Dorsal Attention ↔ Visual,inter,Dorsal Attention – A ↔ Frontoparietal Control – A,inter
227,240,4.2068667,2.8625924e-05,0.003443919,True,1,Visual,1,Visual – Central,3,Dorsal Attention,5,Dorsal Attention – A,,Right Precuneous Cortex,Right Precuneous Cortex ↔ Unknown,Dorsal Attention ↔ Visual,inter,Dorsal Attention – A ↔ Visual – Central,inter
79,390,4.2043514,2.8865516e-05,0.003456465,True,0,Unknown,0,Unknown,0,Unknown,0,Unknown,Unknown,Unknown,Unknown ↔ Unknown,Unknown ↔ Unknown,intra,Unknown ↔ Unknown,intra
361,391,4.2039995,2.8967246e-05,0.0034572755,True,1,Visual,5,Dorsal Attention – A,1,Visual,2,Visual – Peripheral,Right Temporal Occipital Fusiform Cortex,Right Lingual Gyrus,Right Lingual Gyrus ↔ Right Temporal Occipital Fusiform Cortex,Visual ↔ Visual,intra,Dorsal Attention – A ↔ Visual – Peripheral,inter
83,228,4.2025523,2.9182826e-05,0.0034620047,True,1,Visual,5,Dorsal Attention – A,7,Default Mode,17,Temporo-Parietal,,Right Middle Temporal Gyrus; anterior division,Right Middle Temporal Gyrus; anterior division ↔ Unknown,Default Mode ↔ Visual,inter,Dorsal Attention – A ↔ Temporo-Parietal,inter
239,241,4.20216,2.914827e-05,0.0034620047,True,6,Frontoparietal Control,11,Frontoparietal Control – A,6,Frontoparietal Control,12,Frontoparietal Control – B,Right Cingulate Gyrus; anterior division,Right Superior Frontal Gyrus,Right Cingulate Gyrus; anterior division ↔ Right Superior Frontal Gyrus,Frontoparietal Control ↔ Frontoparietal Control,intra,Frontoparietal Control – A ↔ Frontoparietal Control – B,inter
182,325,4.2009187,2.9297682e-05,0.003464903,True,5,Limbic,9,Limbic – A,7,Default Mode,16,Default Mode – C,Left Temporal Pole,Right Paracingulate Gyrus,Left Temporal Pole ↔ Right Paracingulate Gyrus,Default Mode ↔ Limbic,inter,Default Mode – C ↔ Limbic – A,inter
49,87,4.2005143,2.9394774e-05,0.0034710292,True,3,Dorsal Attention,6,Dorsal Attention – B,5,Limbic,9,Limbic – A,Left Postcentral Gyrus,Left Temporal Fusiform Cortex; posterior division,Left Postcentral Gyrus ↔ Left Temporal Fusiform Cortex; posterior division,Dorsal Attention ↔ Limbic,inter,Dorsal Attention – B ↔ Limbic – A,inter
207,391,4.19837,2.974469e-05,0.0035015575,True,6,Frontoparietal Control,13,Frontoparietal Control – C,1,Visual,2,Visual – Peripheral,Right Angular Gyrus,Right Lingual Gyrus,Right Angular Gyrus ↔ Right Lingual Gyrus,Frontoparietal Control ↔ Visual,inter,Frontoparietal Control – C ↔ Visual – Peripheral,inter
112,146,4.197457,2.9855744e-05,0.0035092405,True,5,Limbic,17,Temporo-Parietal,1,Visual,1,Visual – Central,Left Temporal Pole,Right Temporal Occipital Fusiform Cortex,Left Temporal Pole ↔ Right Temporal Occipital Fusiform Cortex,Limbic ↔ Visual,inter,Temporo-Parietal ↔ Visual – Central,inter
374,390,4.197424,2.9742443e-05,0.0035015575,True,7,Default Mode,17,Temporo-Parietal,0,Unknown,0,Unknown,Left Middle Temporal Gyrus; posterior division,Unknown,Left Middle Temporal Gyrus; posterior division ↔ Unknown,Default Mode ↔ Unknown,inter,Temporo-Parietal ↔ Unknown,inter
122,315,4.195141,3.007143e-05,0.003518403,True,1,Visual,2,Visual – Peripheral,0,Unknown,0,Unknown,Left Intracalcarine Cortex,,Left Intracalcarine Cortex ↔ Unknown,Unknown ↔ Visual,inter,Unknown ↔ Visual – Peripheral,inter
29,114,4.1908574,3.064889e-05,0.0035805008,True,6,Frontoparietal Control,8,Salience/Ventral Attention – B,1,Visual,1,Visual – Central,Right Paracingulate Gyrus,Left Lateral Occipital Cortex; inferior division,Left Lateral Occipital Cortex; inferior division ↔ Right Paracingulate Gyrus,Frontoparietal Control ↔ Visual,inter,Salience/Ventral Attention – B ↔ Visual – Central,inter
141,231,4.189771,3.0818974e-05,0.00359489,True,7,Default Mode,13,Frontoparietal Control – C,1,Visual,1,Visual – Central,Right Angular Gyrus,Left Occipital Fusiform Gyrus,Left Occipital Fusiform Gyrus ↔ Right Angular Gyrus,Default Mode ↔ Visual,inter,Frontoparietal Control – C ↔ Visual – Central,inter
23,129,4.186241,3.1273135e-05,0.0036155821,True,2,Somatomotor,4,Somatomotor – B,7,Default Mode,16,Default Mode – C,Right Precentral Gyrus,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus ↔ Right Precentral Gyrus,Default Mode ↔ Somatomotor,inter,Default Mode – C ↔ Somatomotor – B,inter
317,347,4.1857686,3.1326617e-05,0.0036155821,True,2,Somatomotor,4,Somatomotor – B,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,Right Central Opercular Cortex,Right Frontal Operculum Cortex,Right Central Opercular Cortex ↔ Right Frontal Operculum Cortex,Salience / Ventral Attention ↔ Somatomotor,inter,Salience/Ventral Attention – A ↔ Somatomotor – B,inter
77,325,4.1777954,3.2478936e-05,0.003737321,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,7,Default Mode,16,Default Mode – C,Left Cingulate Gyrus; posterior division,Right Paracingulate Gyrus,Left Cingulate Gyrus; posterior division ↔ Right Paracingulate Gyrus,Default Mode ↔ Salience / Ventral Attention,inter,Default Mode – C ↔ Salience/Ventral Attention – A,inter
117,189,4.177071,3.260462e-05,0.0037461587,True,2,Somatomotor,4,Somatomotor – B,7,Default Mode,16,Default Mode – C,Left Postcentral Gyrus,Left Lateral Occipital Cortex; superior division,Left Lateral Occipital Cortex; superior division ↔ Left Postcentral Gyrus,Default Mode ↔ Somatomotor,inter,Default Mode – C ↔ Somatomotor – B,inter
133,241,4.1761975,3.267292e-05,0.0037483862,True,7,Default Mode,17,Temporo-Parietal,6,Frontoparietal Control,12,Frontoparietal Control – B,Right Inferior Frontal Gyrus; pars triangularis,Right Superior Frontal Gyrus,Right Inferior Frontal Gyrus; pars triangularis ↔ Right Superior Frontal Gyrus,Default Mode ↔ Frontoparietal Control,inter,Frontoparietal Control – B ↔ Temporo-Parietal,inter
220,363,4.1757646,3.2765445e-05,0.0037506106,True,2,Somatomotor,3,Somatomotor – A,2,Somatomotor,4,Somatomotor – B,Right Postcentral Gyrus,Left Planum Temporale,Left Planum Temporale ↔ Right Postcentral Gyrus,Somatomotor ↔ Somatomotor,intra,Somatomotor – A ↔ Somatomotor – B,inter
174,361,4.1705155,3.3511005e-05,0.0038159722,True,3,Dorsal Attention,6,Dorsal Attention – B,1,Visual,5,Dorsal Attention – A,Right Superior Frontal Gyrus,Right Temporal Occipital Fusiform Cortex,Right Superior Frontal Gyrus ↔ Right Temporal Occipital Fusiform Cortex,Dorsal Attention ↔ Visual,inter,Dorsal Attention – A ↔ Dorsal Attention – B,inter
77,92,4.1692934,3.367633e-05,0.0038291086,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,1,Visual,2,Visual – Peripheral,Left Cingulate Gyrus; posterior division,Right Precuneous Cortex,Left Cingulate Gyrus; posterior division ↔ Right Precuneous Cortex,Salience / Ventral Attention ↔ Visual,inter,Salience/Ventral Attention – A ↔ Visual – Peripheral,inter
82,361,4.168335,3.376484e-05,0.003833485,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,1,Visual,5,Dorsal Attention – A,Left Temporal Pole,Right Temporal Occipital Fusiform Cortex,Left Temporal Pole ↔ Right Temporal Occipital Fusiform Cortex,Salience / Ventral Attention ↔ Visual,inter,Dorsal Attention – A ↔ Salience/Ventral Attention – A,inter
128,383,4.158725,3.5175915e-05,0.003970164,True,7,Default Mode,14,Default Mode – A,7,Default Mode,14,Default Mode – A,Right Middle Temporal Gyrus; posterior division,Right Superior Temporal Gyrus; posterior division,Right Middle Temporal Gyrus; posterior division ↔ Right Superior Temporal Gyrus; posterior division,Default Mode ↔ Default Mode,intra,Default Mode – A ↔ Default Mode – A,intra
323,382,4.1583796,3.5307807e-05,0.00397919,True,3,Dorsal Attention,6,Dorsal Attention – B,0,Unknown,0,Unknown,Right Superior Parietal Lobule,Unknown,Right Superior Parietal Lobule ↔ Unknown,Dorsal Attention ↔ Unknown,inter,Dorsal Attention – B ↔ Unknown,inter
125,242,4.1562862,3.5598372e-05,0.003998231,True,0,Unknown,0,Unknown,1,Visual,2,Visual – Peripheral,Right Putamen,,Right Putamen ↔ Unknown,Unknown ↔ Visual,inter,Unknown ↔ Visual – Peripheral,inter
70,327,4.1554294,3.5726986e-05,0.003998231,True,1,Visual,1,Visual – Central,6,Frontoparietal Control,11,Frontoparietal Control – A,Right Occipital Fusiform Gyrus,Right Precuneous Cortex,Right Occipital Fusiform Gyrus ↔ Right Precuneous Cortex,Frontoparietal Control ↔ Visual,inter,Frontoparietal Control – A ↔ Visual – Central,inter
162,230,4.1550593,3.5737623e-05,0.003998231,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,0,Unknown,0,Unknown,Right Central Opercular Cortex,,Right Central Opercular Cortex ↔ Unknown,Salience / Ventral Attention ↔ Unknown,inter,Salience/Ventral Attention – A ↔ Unknown,inter
22,133,4.154665,3.5816298e-05,0.004001192,True,2,Somatomotor,4,Somatomotor – B,7,Default Mode,17,Temporo-Parietal,Right Central Opercular Cortex,Right Inferior Frontal Gyrus; pars triangularis,Right Central Opercular Cortex ↔ Right Inferior Frontal Gyrus; pars triangularis,Default Mode ↔ Somatomotor,inter,Somatomotor – B ↔ Temporo-Parietal,inter
91,280,4.1542063,3.5945654e-05,0.0040054903,True,5,Limbic,9,Limbic – A,7,Default Mode,17,Temporo-Parietal,Left Amygdala,Left Middle Temporal Gyrus; posterior division,Left Amygdala ↔ Left Middle Temporal Gyrus; posterior division,Default Mode ↔ Limbic,inter,Limbic – A ↔ Temporo-Parietal,inter
2,158,4.1533504,3.6073616e-05,0.0040123914,True,6,Frontoparietal Control,8,Salience/Ventral Attention – B,7,Default Mode,16,Default Mode – C,Right Frontal Pole,Left Paracingulate Gyrus,Left Paracingulate Gyrus ↔ Right Frontal Pole,Default Mode ↔ Frontoparietal Control,inter,Default Mode – C ↔ Salience/Ventral Attention – B,inter
51,360,4.151983,3.6184018e-05,0.004018838,True,3,Dorsal Attention,11,Frontoparietal Control – A,3,Dorsal Attention,6,Dorsal Attention – B,Left Precuneous Cortex,Left Superior Parietal Lobule,Left Precuneous Cortex ↔ Left Superior Parietal Lobule,Dorsal Attention ↔ Dorsal Attention,intra,Dorsal Attention – B ↔ Frontoparietal Control – A,inter
354,390,4.150871,3.634562e-05,0.00402952,True,6,Frontoparietal Control,12,Frontoparietal Control – B,0,Unknown,0,Unknown,Right Middle Frontal Gyrus,Unknown,Right Middle Frontal Gyrus ↔ Unknown,Frontoparietal Control ↔ Unknown,inter,Frontoparietal Control – B ↔ Unknown,inter
29,191,4.1506195,3.6411384e-05,0.00402952,True,6,Frontoparietal Control,8,Salience/Ventral Attention – B,3,Dorsal Attention,12,Frontoparietal Control – B,Right Paracingulate Gyrus,Right Inferior Frontal Gyrus; pars opercularis,Right Inferior Frontal Gyrus; pars opercularis ↔ Right Paracingulate Gyrus,Dorsal Attention ↔ Frontoparietal Control,inter,Frontoparietal Control – B ↔ Salience/Ventral Attention – B,inter
230,241,4.148412,3.6754358e-05,0.0040411865,True,0,Unknown,0,Unknown,6,Frontoparietal Control,12,Frontoparietal Control – B,,Right Superior Frontal Gyrus,Right Superior Frontal Gyrus ↔ Unknown,Frontoparietal Control ↔ Unknown,inter,Frontoparietal Control – B ↔ Unknown,inter
182,387,4.147094,3.6946247e-05,0.004049635,True,5,Limbic,9,Limbic – A,6,Frontoparietal Control,13,Frontoparietal Control – C,Left Temporal Pole,Right Frontal Pole,Left Temporal Pole ↔ Right Frontal Pole,Frontoparietal Control ↔ Limbic,inter,Frontoparietal Control – C ↔ Limbic – A,inter
114,135,4.1455245,3.727928e-05,0.004061712,True,1,Visual,1,Visual – Central,3,Dorsal Attention,15,Default Mode – B,Left Lateral Occipital Cortex; inferior division,Right Lateral Occipital Cortex; superior division,Left Lateral Occipital Cortex; inferior division ↔ Right Lateral Occipital Cortex; superior division,Dorsal Attention ↔ Visual,inter,Default Mode – B ↔ Visual – Central,inter
18,214,4.145476,3.7246275e-05,0.004061712,True,0,Unknown,0,Unknown,6,Frontoparietal Control,12,Frontoparietal Control – B,,Left Inferior Frontal Gyrus; pars opercularis,Left Inferior Frontal Gyrus; pars opercularis ↔ Unknown,Frontoparietal Control ↔ Unknown,inter,Frontoparietal Control – B ↔ Unknown,inter
137,280,4.1452923,3.731204e-05,0.004061712,True,7,Default Mode,16,Default Mode – C,7,Default Mode,17,Temporo-Parietal,Right Cingulate Gyrus; posterior division,Left Middle Temporal Gyrus; posterior division,Left Middle Temporal Gyrus; posterior division ↔ Right Cingulate Gyrus; posterior division,Default Mode ↔ Default Mode,intra,Default Mode – C ↔ Temporo-Parietal,inter
209,294,4.1400876,3.8169335e-05,0.004131561,True,7,Default Mode,13,Frontoparietal Control – C,1,Visual,5,Dorsal Attention – A,Right Middle Temporal Gyrus; posterior division,Right Lateral Occipital Cortex; superior division,Right Lateral Occipital Cortex; superior division ↔ Right Middle Temporal Gyrus; posterior division,Default Mode ↔ Visual,inter,Dorsal Attention – A ↔ Frontoparietal Control – C,inter
65,289,4.134701,3.895015e-05,0.004203404,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,7,Default Mode,17,Temporo-Parietal,Left Planum Temporale,Right Frontal Pole,Left Planum Temporale ↔ Right Frontal Pole,Default Mode ↔ Salience / Ventral Attention,inter,Salience/Ventral Attention – A ↔ Temporo-Parietal,inter
109,239,4.1344013,3.908608e-05,0.0042070234,True,7,Default Mode,16,Default Mode – C,6,Frontoparietal Control,11,Frontoparietal Control – A,Right Cingulate Gyrus; anterior division,Right Cingulate Gyrus; anterior division,Right Cingulate Gyrus; anterior division ↔ Right Cingulate Gyrus; anterior division,Default Mode ↔ Frontoparietal Control,inter,Default Mode – C ↔ Frontoparietal Control – A,inter
134,382,4.134174,3.9196937e-05,0.004213039,True,0,Unknown,0,Unknown,0,Unknown,0,Unknown,,Unknown,Unknown ↔ Unknown,Unknown ↔ Unknown,intra,Unknown ↔ Unknown,intra
248,296,4.133132,3.9308434e-05,0.004219105,True,7,Default Mode,16,Default Mode – C,3,Dorsal Attention,5,Dorsal Attention – A,Right Precuneous Cortex,Left Temporal Fusiform Cortex; posterior division,Left Temporal Fusiform Cortex; posterior division ↔ Right Precuneous Cortex,Default Mode ↔ Dorsal Attention,inter,Default Mode – C ↔ Dorsal Attention – A,inter
29,267,4.1304893,3.969695e-05,0.0042368392,True,6,Frontoparietal Control,8,Salience/Ventral Attention – B,1,Visual,15,Default Mode – B,Right Paracingulate Gyrus,Right Parahippocampal Gyrus; posterior division,Right Paracingulate Gyrus ↔ Right Parahippocampal Gyrus; posterior division,Frontoparietal Control ↔ Visual,inter,Default Mode – B ↔ Salience/Ventral Attention – B,inter
120,391,4.12965,3.9963747e-05,0.0042368392,True,7,Default Mode,15,Default Mode – B,1,Visual,2,Visual – Peripheral,Left Lateral Occipital Cortex; superior division,Right Lingual Gyrus,Left Lateral Occipital Cortex; superior division ↔ Right Lingual Gyrus,Default Mode ↔ Visual,inter,Default Mode – B ↔ Visual – Peripheral,inter
70,158,4.12963,3.9880564e-05,0.0042368392,True,1,Visual,1,Visual – Central,7,Default Mode,16,Default Mode – C,Right Occipital Fusiform Gyrus,Left Paracingulate Gyrus,Left Paracingulate Gyrus ↔ Right Occipital Fusiform Gyrus,Default Mode ↔ Visual,inter,Default Mode – C ↔ Visual – Central,inter
45,201,4.1289673,4.0001378e-05,0.0042368392,True,5,Limbic,9,Limbic – A,7,Default Mode,10,Limbic – B,Left Temporal Fusiform Cortex; anterior division,Right Frontal Orbital Cortex,Left Temporal Fusiform Cortex; anterior division ↔ Right Frontal Orbital Cortex,Default Mode ↔ Limbic,inter,Limbic – A ↔ Limbic – B,inter
179,239,4.128878,3.9977163e-05,0.0042368392,True,1,Visual,5,Dorsal Attention – A,6,Frontoparietal Control,11,Frontoparietal Control – A,,Right Cingulate Gyrus; anterior division,Right Cingulate Gyrus; anterior division ↔ Unknown,Frontoparietal Control ↔ Visual,inter,Dorsal Attention – A ↔ Frontoparietal Control – A,inter
194,369,4.126607,4.037979e-05,0.004258964,True,2,Somatomotor,3,Somatomotor – A,0,Unknown,0,Unknown,Right Postcentral Gyrus,Unknown,Right Postcentral Gyrus ↔ Unknown,Somatomotor ↔ Unknown,inter,Somatomotor – A ↔ Unknown,inter
182,184,4.1262565,4.0385275e-05,0.004258964,True,5,Limbic,9,Limbic – A,4,Salience / Ventral Attention,8,Salience/Ventral Attention – B,Left Temporal Pole,Right Cingulate Gyrus; anterior division,Left Temporal Pole ↔ Right Cingulate Gyrus; anterior division,Limbic ↔ Salience / Ventral Attention,inter,Limbic – A ↔ Salience/Ventral Attention – B,inter
20,21,4.1246295,4.076371e-05,0.0042852783,True,2,Somatomotor,3,Somatomotor – A,0,Unknown,0,Unknown,Left Cingulate Gyrus; posterior division,Left Thalamus,Left Cingulate Gyrus; posterior division ↔ Left Thalamus,Somatomotor ↔ Unknown,inter,Somatomotor – A ↔ Unknown,inter
158,360,4.122436,4.109701e-05,0.00429674,True,7,Default Mode,16,Default Mode – C,3,Dorsal Attention,6,Dorsal Attention – B,Left Paracingulate Gyrus,Left Superior Parietal Lobule,Left Paracingulate Gyrus ↔ Left Superior Parietal Lobule,Default Mode ↔ Dorsal Attention,inter,Default Mode – C ↔ Dorsal Attention – B,inter
82,91,4.119729,4.1617557e-05,0.004345236,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,5,Limbic,9,Limbic – A,Left Temporal Pole,Left Amygdala,Left Amygdala ↔ Left Temporal Pole,Limbic ↔ Salience / Ventral Attention,inter,Limbic – A ↔ Salience/Ventral Attention – A,inter
64,391,4.117799,4.1905707e-05,0.0043634316,True,6,Frontoparietal Control,8,Salience/Ventral Attention – B,1,Visual,2,Visual – Peripheral,Right Inferior Frontal Gyrus; pars opercularis,Right Lingual Gyrus,Right Inferior Frontal Gyrus; pars opercularis ↔ Right Lingual Gyrus,Frontoparietal Control ↔ Visual,inter,Salience/Ventral Attention – B ↔ Visual – Peripheral,inter
49,168,4.117112,4.2092088e-05,0.0043768915,True,3,Dorsal Attention,6,Dorsal Attention – B,5,Limbic,10,Limbic – B,Left Postcentral Gyrus,Left Subcallosal Cortex,Left Postcentral Gyrus ↔ Left Subcallosal Cortex,Dorsal Attention ↔ Limbic,inter,Dorsal Attention – B ↔ Limbic – B,inter
3,182,4.1150784,4.2435167e-05,0.004406587,True,2,Somatomotor,4,Somatomotor – B,5,Limbic,9,Limbic – A,Left Postcentral Gyrus,Left Temporal Pole,Left Postcentral Gyrus ↔ Left Temporal Pole,Limbic ↔ Somatomotor,inter,Limbic – A ↔ Somatomotor – B,inter
315,391,4.114915,4.2551535e-05,0.0044075795,True,0,Unknown,0,Unknown,1,Visual,2,Visual – Peripheral,,Right Lingual Gyrus,Right Lingual Gyrus ↔ Unknown,Unknown ↔ Visual,inter,Unknown ↔ Visual – Peripheral,inter
225,376,4.114172,4.2605887e-05,0.0044075795,True,1,Visual,1,Visual – Central,3,Dorsal Attention,5,Dorsal Attention – A,Right Occipital Fusiform Gyrus,Right Lateral Occipital Cortex; superior division,Right Lateral Occipital Cortex; superior division ↔ Right Occipital Fusiform Gyrus,Dorsal Attention ↔ Visual,inter,Dorsal Attention – A ↔ Visual – Central,inter
181,241,4.112021,4.29177e-05,0.004420754,True,3,Dorsal Attention,5,Dorsal Attention – A,6,Frontoparietal Control,12,Frontoparietal Control – B,Left Lateral Occipital Cortex; superior division,Right Superior Frontal Gyrus,Left Lateral Occipital Cortex; superior division ↔ Right Superior Frontal Gyrus,Dorsal Attention ↔ Frontoparietal Control,inter,Dorsal Attention – A ↔ Frontoparietal Control – B,inter
221,225,4.1104274,4.342086e-05,0.00443593,True,7,Default Mode,17,Temporo-Parietal,1,Visual,1,Visual – Central,Left Frontal Orbital Cortex,Right Occipital Fusiform Gyrus,Left Frontal Orbital Cortex ↔ Right Occipital Fusiform Gyrus,Default Mode ↔ Visual,inter,Temporo-Parietal ↔ Visual – Central,inter
87,134,4.10947,4.3375603e-05,0.00443593,True,5,Limbic,9,Limbic – A,0,Unknown,0,Unknown,Left Temporal Fusiform Cortex; posterior division,,Left Temporal Fusiform Cortex; posterior division ↔ Unknown,Limbic ↔ Unknown,inter,Limbic – A ↔ Unknown,inter
230,315,4.108351,4.3584034e-05,0.00443593,True,0,Unknown,0,Unknown,0,Unknown,0,Unknown,,,Unknown ↔ Unknown,Unknown ↔ Unknown,intra,Unknown ↔ Unknown,intra
201,358,4.1079726,4.3687698e-05,0.004440385,True,7,Default Mode,10,Limbic – B,0,Unknown,0,Unknown,Right Frontal Orbital Cortex,Unknown,Right Frontal Orbital Cortex ↔ Unknown,Default Mode ↔ Unknown,inter,Limbic – B ↔ Unknown,inter
5,49,4.1066613,4.396058e-05,0.0044563,True,4,Salience / Ventral Attention,14,Default Mode – A,3,Dorsal Attention,6,Dorsal Attention – B,Right Supramarginal Gyrus; posterior division,Left Postcentral Gyrus,Left Postcentral Gyrus ↔ Right Supramarginal Gyrus; posterior division,Dorsal Attention ↔ Salience / Ventral Attention,inter,Default Mode – A ↔ Dorsal Attention – B,inter
110,229,4.1065035,4.4046068e-05,0.004459068,True,3,Dorsal Attention,5,Dorsal Attention – A,1,Visual,2,Visual – Peripheral,Right Inferior Temporal Gyrus; temporooccipital part,Right Lateral Occipital Cortex; superior division,Right Inferior Temporal Gyrus; temporooccipital part ↔ Right Lateral Occipital Cortex; superior division,Dorsal Attention ↔ Visual,inter,Dorsal Attention – A ↔ Visual – Peripheral,inter
14,332,4.100621,4.50592e-05,0.004537657,True,0,Unknown,0,Unknown,1,Visual,1,Visual – Central,Left Caudate,Left Lingual Gyrus,Left Caudate ↔ Left Lingual Gyrus,Unknown ↔ Visual,inter,Unknown ↔ Visual – Central,inter
145,280,4.09905,4.5390945e-05,0.0045590834,True,2,Somatomotor,3,Somatomotor – A,7,Default Mode,17,Temporo-Parietal,Left Precentral Gyrus,Left Middle Temporal Gyrus; posterior division,Left Middle Temporal Gyrus; posterior division ↔ Left Precentral Gyrus,Default Mode ↔ Somatomotor,inter,Somatomotor – A ↔ Temporo-Parietal,inter
100,354,4.096256,4.5946566e-05,0.004602825,True,5,Limbic,10,Limbic – B,6,Frontoparietal Control,12,Frontoparietal Control – B,Right Subcallosal Cortex,Right Middle Frontal Gyrus,Right Middle Frontal Gyrus ↔ Right Subcallosal Cortex,Frontoparietal Control ↔ Limbic,inter,Frontoparietal Control – B ↔ Limbic – B,inter
30,360,4.094808,4.627966e-05,0.0046241046,True,7,Default Mode,17,Temporo-Parietal,3,Dorsal Attention,6,Dorsal Attention – B,Left Angular Gyrus,Left Superior Parietal Lobule,Left Angular Gyrus ↔ Left Superior Parietal Lobule,Default Mode ↔ Dorsal Attention,inter,Dorsal Attention – B ↔ Temporo-Parietal,inter
96,254,4.090643,4.7013717e-05,0.004667025,True,6,Frontoparietal Control,8,Salience/Ventral Attention – B,7,Default Mode,13,Frontoparietal Control – C,Right Frontal Pole,Left Frontal Pole,Left Frontal Pole ↔ Right Frontal Pole,Default Mode ↔ Frontoparietal Control,inter,Frontoparietal Control – C ↔ Salience/Ventral Attention – B,inter
88,109,4.0897775,4.7370173e-05,0.0046781707,True,6,Frontoparietal Control,8,Salience/Ventral Attention – B,7,Default Mode,16,Default Mode – C,Left Middle Frontal Gyrus,Right Cingulate Gyrus; anterior division,Left Middle Frontal Gyrus ↔ Right Cingulate Gyrus; anterior division,Default Mode ↔ Frontoparietal Control,inter,Default Mode – C ↔ Salience/Ventral Attention – B,inter
182,247,4.088915,4.7324178e-05,0.0046781707,True,5,Limbic,9,Limbic – A,0,Unknown,0,Unknown,Left Temporal Pole,,Left Temporal Pole ↔ Unknown,Limbic ↔ Unknown,inter,Limbic – A ↔ Unknown,inter
275,280,4.0865593,4.794748e-05,0.0047169486,True,3,Dorsal Attention,11,Frontoparietal Control – A,7,Default Mode,17,Temporo-Parietal,Right Precuneous Cortex,Left Middle Temporal Gyrus; posterior division,Left Middle Temporal Gyrus; posterior division ↔ Right Precuneous Cortex,Default Mode ↔ Dorsal Attention,inter,Frontoparietal Control – A ↔ Temporo-Parietal,inter
95,267,4.0860415,4.7917467e-05,0.0047169486,True,2,Somatomotor,4,Somatomotor – B,1,Visual,15,Default Mode – B,Left Postcentral Gyrus,Right Parahippocampal Gyrus; posterior division,Left Postcentral Gyrus ↔ Right Parahippocampal Gyrus; posterior division,Somatomotor ↔ Visual,inter,Default Mode – B ↔ Somatomotor – B,inter
65,391,4.0820193,4.8751146e-05,0.004777612,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,1,Visual,2,Visual – Peripheral,Left Planum Temporale,Right Lingual Gyrus,Left Planum Temporale ↔ Right Lingual Gyrus,Salience / Ventral Attention ↔ Visual,inter,Salience/Ventral Attention – A ↔ Visual – Peripheral,inter
37,287,4.0782967,4.965399e-05,0.0048381016,True,1,Visual,2,Visual – Peripheral,3,Dorsal Attention,5,Dorsal Attention – A,Right Precuneous Cortex,Right Lateral Occipital Cortex; superior division,Right Lateral Occipital Cortex; superior division ↔ Right Precuneous Cortex,Dorsal Attention ↔ Visual,inter,Dorsal Attention – A ↔ Visual – Peripheral,inter
214,242,4.077801,4.962234e-05,0.0048381016,True,6,Frontoparietal Control,12,Frontoparietal Control – B,1,Visual,2,Visual – Peripheral,Left Inferior Frontal Gyrus; pars opercularis,,Left Inferior Frontal Gyrus; pars opercularis ↔ Unknown,Frontoparietal Control ↔ Visual,inter,Frontoparietal Control – B ↔ Visual – Peripheral,inter
